наименование заказчика;чод заказчика;;ЧОД заказчика уточненный;Ч. О. Д. ЧТЗ;наименование детали ЧТЗ
гусеница 5ти каткова, с закрытым шарниром, для песченых грунтов (для работы в абразивной среде);ГМ-10СП;;;ГМ-10СП;Гусеница ГМ-10СП ТУ 22-1ГМ-2005
0;А24-22-1СБ;;;;
наименование заказчика;чод заказчика;;ЧОД заказчика уточненный;Ч. О. Д. ЧТЗ;наименование детали ЧТЗ
Кольца уплотнительные;40843;;;40843;КОЛЬЦО 40843
Кольца уплотнительные;740.1002024 (40210);;;;
Поршневая группа;Д-160-01-1101(ф150);;;;
Поршневые кольца МТЗ;51-03-115СП;;;51-03-115СП;КОЛЬЦО ПОРШНЕВОЕ СТ-51-03-115СП
Прокладка головки блока;Д-160 ф150   40201;;40201;40201;ПРОКЛАДКА 40201
Прокладка головки блока;Д-160 ф150 51.02.107СП;;51-02-107-01СП;51-02-107-01СП;Прокладка
трубка;2218;;;;
наименование заказчика;чод заказчика;;ЧОД заказчика уточненный;Ч. О. Д. ЧТЗ;наименование детали ЧТЗ
0;50-14-23;;18-14-77;;
0;50-14-26;;18-14-126;;
0;18-14-140-1СП;;;18-14-140-1СП;Тормозок
0;700-40-5259-1;;;700-40-5259-1;ПРОКЛАДКА 700-40-5259-1
0;21363;;;21363;КОЛЬЦО 21363
подшипник;42314К;;70-42314К;;
шестерня большая;0;;60-19-1;60-19-1;Шестерня
двойняшка;0;;50-19-174СП;50-19-174СП;Шестерня двойная. Комплект
р/к вод насоса;Р/К 16-08-140СП;;;;
наименование заказчика;чод заказчика;;ЧОД заказчика уточненный;Ч. О. Д. ЧТЗ;наименование детали ЧТЗ
0;50-21-416СП;;;50-21-416СП;Каток поддерживающий
0;40157;;51-02-107-01СП;51-02-107-01СП;Прокладка
0;50-12-642;;;50-12-642;Колесо зубчатое
0;18-12-321;;;18-12-321;Шестерня
0;18-12-323;;;18-12-323;Муфта
0;50-12-565;;;50-12-565;Вилка
0;РВД гайка+гайка 32;;;;
0;РВД гайка+гайка 32;;;;
0;РВД гайка+гайка 32;;;;
0;РВД гайка+гайка 32;;;;
0;РВД гайка+гайка 32;;;;
0;50-08-156-02СП;;130У.13.010-1СП;130У.13.010-1СП;РАДИАТОР 130У.13.010-1СП(130У.13.010-1)БЕЗ ПРОБКИ
болт М20*1,5*62+гайка (башмачный);0;;М20Х1,5Х62+30326;;
болт М16*1,5*62+гайка;0;;М16Х1,5Х60.58.019;М16Х1,5Х60.58.019;БОЛТ М16Х1,5Х60.58.019
нож боковой правый 80-52-60-2;0;;80-52-60-02;80-52-60-02;Нож боковой
нож боковой левый 80-52-59-2;0;;80-52-59-02;80-52-59-02;Нож боковой
нож средний 80-52-61;0;;80-52-61;80-52-61;Нож средний
ЭФМ-011-1 элемент фильтрующий;0;;Р-635-1.06;;
А41.10.000-02 ФП207.1-01 фильтр патрон;0;;;;
А41.20.000-01 ФП207.1-01 фильтр патрон;0;;в сборе с предыдущим;;
